song,artist,peak_position,weeks_on_chart,date_of_charting
Waste It On Me,Steve Aoki Featuring BTS,89,1,11/10/2018
Drunk Girl,Chris Janson,79,10,11/10/2018
Venom,Eminem,43,5,11/10/2018
Drowns The Whiskey,Jason Aldean Featuring Miranda Lambert,32,19,11/10/2018
The Middle,"Zedd, Maren Morris & Grey",5,40,11/10/2018
New Patek,Lil Uzi Vert,24,7,11/10/2018
Killshot,Eminem,3,8,11/17/2018
Promises,Calvin Harris & Sam Smith,65,12,11/17/2018
Overdue,Metro Boomin Featuring Travis Scott,62,1,11/17/2018
No More,"Metro Boomin Featuring Travis Scott, Kodak Black & 21 Savage",79,1,11/17/2018
Delicate,Taylor Swift,12,35,11/17/2018
Up To Something,Metro Boomin Featuring Travis Scott & Young Thug,100,1,11/17/2018
Back To You,Selena Gomez,18,26,11/17/2018
Casper,TakeOff,99,1,11/17/2018
No Brainer,"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",5,15,11/17/2018
Last Memory,TakeOff,54,2,11/17/2018
Hotel Key,Old Dominion,48,19,11/17/2018
Dreamcatcher,Metro Boomin Featuring Swae Lee & Travis Scott,72,1,11/17/2018
Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",16,24,11/24/2018
Toxic Waste,Trippie Redd,98,1,11/24/2018
Negative Energy,Trippie Redd Featuring Kodie Shane,89,1,11/24/2018
Drew Barrymore,Bryce Vine,46,14,11/24/2018
Jackie Chan,Tiesto & Dzeko Featuring Preme & Post Malone,52,19,11/24/2018
Love Scars 3,Trippie Redd,73,1,11/24/2018
W O R K I N  M E,Quavo,52,15,12/1/2018
Bohemian Rhapsody,Queen,2,44,12/1/2018
Burn The House Down,AJR,100,1,12/1/2018
Sad!,XXXTENTACION,1,38,12/1/2018
Desperate Man,Eric Church,68,15,12/1/2018
Psycho,Post Malone Featuring Ty Dolla $ign,1,39,12/1/2018
I Like Me Better,Lauv,27,41,12/1/2018
Mona Lisa,Lil Wayne Featuring Kendrick Lamar,2,8,12/1/2018
Take One,Kodak Black,81,1,12/1/2018
Falling Down,Lil Peep & XXXTENTACION,13,11,12/8/2018
Lose It,Kane Brown,28,20,12/8/2018
Noticed,Lil Mosey,80,10,12/8/2018
Best Part,Daniel Caesar Featuring H.E.R.,75,19,12/8/2018
BEBE,6ix9ine Featuring Anuel AA,30,5,12/8/2018
Hangin' On,Chris Young,63,13,12/8/2018
Nonstop,Drake,2,22,12/8/2018
I Love It,Kanye West & Lil Pump,6,12,12/8/2018
Don't Come Out The House,Metro Boomin Featuring 21 Savage,38,4,12/8/2018
In My Feelings,Drake,1,22,12/8/2018
Rich,Maren Morris,62,8,12/8/2018
10 Freaky Girls,Metro Boomin Featuring 21 Savage,42,4,12/8/2018
1400 / 999 Freestyle,Trippie Redd Featuring Juice WRLD,55,3,12/8/2018
Yes Indeed,Lil Baby & Drake,6,29,12/8/2018
Topanga,Trippie Redd,52,5,12/8/2018
Boo'd Up,Ella Mai,5,35,12/8/2018
Never Recover,Lil Baby & Gunna Featuring Drake,15,8,12/8/2018
Come Out And Play,Billie Eilish,69,1,12/8/2018
I'm A Mess,Bebe Rexha,35,20,12/8/2018
Global,Lil Baby,91,1,12/15/2018
Ring,Cardi B Featuring Kehlani,28,20,12/15/2018
Time,Lil Baby Featuring Meek Mill,62,1,12/15/2018
Pay You Back,Meek Mill Featuring 21 Savage,78,1,12/15/2018
Oodles O' Noodles Babies,Meek Mill,85,1,12/15/2018
FEFE,6ix9ine Featuring Nicki Minaj & Murda Beatz,3,20,12/15/2018
Word On The Street,Lil Baby,98,1,12/15/2018
Foot Fungus,Ski Mask The Slump God,81,1,12/15/2018
STOOPID,6ix9ine Featuring Bobby Shmurda,25,9,12/15/2018
Championships,Meek Mill,70,1,12/15/2018
Ready,Lil Baby Featuring Gunna,66,1,12/15/2018
Trauma,Meek Mill,61,1,12/15/2018
Respect The Game,Meek Mill,57,1,12/15/2018
Tic Tac Toe,Meek Mill Featuring Kodak Black,72,1,12/15/2018
Intro,Meek Mill,55,1,12/15/2018
Splash Warning,"Meek Mill Featuring Future, Roddy Ricch & Young Thug",77,1,12/15/2018
Almost Slipped,Meek Mill,73,1,12/15/2018
Crush A Lot,Lil Baby,82,1,12/15/2018
What's Free,Meek Mill Featuring Rick Ross & JAY-Z,20,2,12/22/2018
I Don't Let Go,XXXTENTACION,51,1,12/22/2018
What Are You So Afraid Of,XXXTENTACION,65,1,12/22/2018
Lie,NF,48,20,12/22/2018
One Minute,XXXTENTACION Featuring Kanye West & Travis Barker,62,1,12/22/2018
Train Food,XXXTENTACION,64,1,12/22/2018
Broken,lovelytheband,29,22,12/22/2018
That's On Me,Yella Beezy,56,20,12/22/2018
Taste,Tyga Featuring Offset,8,29,12/22/2018
TIC TOC,6ix9ine Featuring Lil Baby,53,3,12/22/2018
God Is A Woman,Ariana Grande,8,22,12/22/2018
Difference (Interlude),XXXTENTACION,84,1,12/22/2018
Staring At The Sky,XXXTENTACION,68,1,12/22/2018
WAKA,6ix9ine Featuring A Boogie Wit da Hoodie,51,3,12/22/2018
Guardian Angel,XXXTENTACION,48,1,12/22/2018
On Me,Meek Mill Featuring Cardi B,30,2,12/22/2018
MAMA,6ix9ine Featuring Nicki Minaj & Kanye West,43,4,12/29/2018
Uptown Vibes,Meek Mill Featuring Fabolous & Anuel AA,39,3,12/29/2018
Testimony,Kodak Black,74,1,12/29/2018
MoshPit,Kodak Black Featuring Juice WRLD,58,1,12/29/2018
Gnarly,Kodak Black Featuring Lil Pump,88,1,12/29/2018
Out For The Night,21 Savage,88,1,1/5/2019
The Christmas Song,Lauren Daigle,55,2,1/5/2019
Gun Smoke,21 Savage,93,1,1/5/2019
1.5,21 Savage,86,1,1/5/2019
ASMR,21 Savage,95,1,1/5/2019
Break Da Law,21 Savage,70,1,1/5/2019
Cozy Little Christmas,Katy Perry,53,2,1/5/2019
Solo de Mi,Bad Bunny,93,1,1/12/2019
All My Friends,21 Savage,67,2,1/12/2019
whoa (mind in awe),XXXTENTACION,37,3,1/12/2019
Drunk Me,Mitchell Tenpenny,39,21,1/12/2019
Dangerous,Meek Mill Featuring Jeremih & PnB Rock,31,20,1/12/2019
Dip,Tyga & Nicki Minaj,63,8,1/19/2019
Last Shot,Kip Moore,53,8,1/19/2019
Monster,21 Savage,73,3,1/19/2019
Demons And Angels,A Boogie Wit da Hoodie Featuring Juice WRLD,90,3,1/19/2019
Lucky You,Eminem Featuring Joyner Lucas,6,14,1/19/2019
Lost In Japan,Shawn Mendes X Zedd,48,16,1/19/2019
Smile (Living My Best Life),Lil' Duval Featuring Snoop Dogg & Ball Greezy,56,19,1/19/2019
KIKA,6ix9ine Featuring Tory Lanez,44,6,1/19/2019
Good Form,Nicki Minaj Featuring Lil Wayne,60,6,1/26/2019
Nuketown,Ski Mask The Slump God Featuring Juice WRLD,63,6,1/26/2019
She Got The Best Of Me ,Luke Combs,31,23,1/26/2019
Fine China,Future & Juice WRLD,26,13,1/26/2019
Can't Leave Without It,21 Savage,58,4,1/26/2019
Space Cadet,Metro Boomin Featuring Gunna,51,6,1/26/2019
Butterfly Doors,Lil Pump,81,2,1/26/2019
idontwannabeyouanymore,Billie Eilish,96,3,1/26/2019
Valuable Pain,YoungBoy Never Broke Again,87,2,1/26/2019
Consequences,Camila Cabello,51,12,2/2/2019
Call The Coroner,Future,100,1,2/2/2019
Temptation,Future,76,1,2/2/2019
Jumpin On A Jet,Future,57,2,2/2/2019
Never Stop,Future,65,1,2/2/2019
Electricity,Silk City x Dua Lipa,62,10,2/2/2019
F&N,Future,83,1,2/2/2019
Rocket Ship,Future,79,1,2/2/2019
Natural,Imagine Dragons,13,27,2/2/2019
Face My Fears,Hikaru Utada & Skrillex,98,1,2/2/2019
BAD!,XXXTENTACION,16,11,2/9/2019
Sauce!,XXXTENTACION,89,1,2/9/2019
Best Shot,Jimmie Allen,37,20,2/9/2019
Blue Tacoma,Russell Dickerson,52,19,2/9/2019
Beautiful,Bazzi Featuring Camila Cabello,26,27,2/16/2019
First Off,Future Featuring Travis Scott,47,3,2/16/2019
Love Lies,Khalid & Normani,9,51,2/16/2019
Keanu Reeves,Logic,38,3,2/16/2019
Roses,benny blanco & Juice WRLD Featuring Brendon Urie,85,6,2/16/2019
Alone,Marshmello,28,11,2/16/2019
Trip,Ella Mai,11,27,2/16/2019
Breathin,Ariana Grande,12,25,2/16/2019
No Stylist,French Montana Featuring Drake,47,20,2/16/2019
Crushed Up,Future,43,5,2/16/2019
Burning Man,Dierks Bentley Featuring Brothers Osborne,45,17,2/23/2019
Rainbow,Kacey Musgraves,98,1,2/23/2019
Talk To Me,Tory Lanez & Rich The Kid,43,16,2/23/2019
Uproar,Lil Wayne,7,20,2/23/2019
You,Jacquees,58,12,2/23/2019
Ruin My Life,Zara Larsson,76,7,2/23/2019
Sixteen,Thomas Rhett,42,15,3/2/2019
Startender,A Boogie Wit da Hoodie Featuring Offset & Tyga,59,9,3/2/2019
Lost In The Fire,Gesaffelstein & The Weeknd,27,6,3/2/2019
Good Girl,Dustin Lynch,44,15,3/2/2019
Arms Around You,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,28,17,3/2/2019
Ghostin,Ariana Grande,25,2,3/2/2019
Body,Loud Luxury Featuring Brando,80,8,3/2/2019
Make Up,Ariana Grande,48,2,3/2/2019
Yosemite,Travis Scott,25,18,3/2/2019
365,Zedd & Katy Perry,86,1,3/2/2019
Fake Smile,Ariana Grande,26,2,3/2/2019
In My Head,Ariana Grande,38,2,3/2/2019
Lick,Offset,86,1,3/9/2019
One Call,Gunna,56,2,3/9/2019
Backin' It Up,Pardison Fontaine Featuring Cardi B,40,20,3/9/2019
Bloodline,Ariana Grande,22,3,3/9/2019
Nothing Breaks Like A Heart,Mark Ronson Featuring Miley Cyrus,43,13,3/9/2019
Legacy,Offset Featuring Travis Scott & 21 Savage,49,1,3/9/2019
Wit It,Gunna,75,1,3/9/2019
3 Headed Snake,Gunna Featuring Young Thug,74,1,3/9/2019
Bad Idea,Ariana Grande,27,3,3/9/2019
NASA,Ariana Grande,17,3,3/9/2019
This Feeling,The Chainsmokers Featuring Kelsea Ballerini,50,20,3/9/2019
Imagine,Ariana Grande,21,8,3/9/2019
Same Yung N***a,Gunna Featuring Playboi Carti,97,1,3/9/2019
Outstanding,Gunna,70,1,3/9/2019
I Guess I Just Feel Like,John Mayer,94,1,3/9/2019
How Did I Get Here,Offset Featuring  J. Cole,65,1,3/9/2019
I'll Never Love Again,Lady Gaga,36,7,3/9/2019
Speed It Up,Gunna,91,1,3/9/2019
Be Like Me,Lil Pump Featuring Lil Wayne,72,1,3/9/2019
Love Someone,Lukas Graham,70,10,3/16/2019
Red Room,Offset,49,3,3/16/2019
Whip,2 Chainz Featuring Travis Scott,75,1,3/16/2019
Momma I Hit A Lick,2 Chainz Featuring Kendrick Lamar,100,1,3/16/2019
Needy,Ariana Grande,14,4,3/16/2019
Armed And Dangerous,Juice WRLD,44,17,3/16/2019
Mo Bamba,Sheck Wes,6,28,3/16/2019
Leave Me Alone,Flipp Dinero,20,25,3/16/2019
Burn Out,Midland,63,9,3/16/2019
Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,11,26,3/23/2019
What Makes You Country,Luke Bryan,54,11,3/23/2019
Flaws And Sins,Juice WRLD,91,1,3/23/2019
Maze,Juice WRLD,65,1,3/23/2019
Nights Like This,Kehlani Featuring Ty Dolla $ign,67,9,3/23/2019
Always Remember Us This Way,Lady Gaga,41,9,3/23/2019
Ella Quiere Beber,Anuel AA & Romeo Santos,61,20,3/30/2019
Fast,Juice WRLD,47,2,3/30/2019
Sally Walker,Iggy Azalea,62,1,3/30/2019
Hear Me Calling,Juice WRLD,38,4,4/6/2019
Undecided,Chris Brown,35,12,4/6/2019
Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",11,26,4/6/2019
Calling My Spirit,Kodak Black,46,17,4/6/2019
I Like It,"Cardi B, Bad Bunny & J Balvin",1,51,4/6/2019
Confessions Of A Dangerous Mind,Logic,78,1,4/6/2019
Splashin,Rich The Kid,80,5,4/6/2019
Love Wins,Carrie Underwood,83,10,4/6/2019
Take It From Me,Jordan Davis,46,13,4/6/2019
Down To The Honkytonk,Jake Owen,65,13,4/6/2019
I,Lil Skies,39,4,4/6/2019
Last Hurrah,Bebe Rexha,98,1,4/6/2019
Price On My Head,NAV Featuring The Weeknd,72,1,4/6/2019
ZEZE,Kodak Black Featuring Travis Scott & Offset,2,25,4/13/2019
Twerk,City Girls Featuring Cardi B,29,13,4/13/2019
Girl Like You,Jason Aldean,46,19,4/13/2019
Listen Before I Go,Billie Eilish,63,1,4/13/2019
I Can't Get Enough,"benny blanco, Tainy, Selena Gomez & J Balvin",66,5,4/13/2019
Ilomilo,Billie Eilish,62,1,4/13/2019
Millionaire,Chris Stapleton,47,17,4/13/2019
I Love You,Billie Eilish,53,1,4/13/2019
8,Billie Eilish,79,1,4/13/2019
Lovely,Billie Eilish & Khalid,64,22,4/13/2019
Victory Lap,Nipsey Hussle Featuring Stacy Barthe,100,1,4/20/2019
Don't Pretend,Khalid x SAFE,84,1,4/20/2019
Monopoly,Ariana Grande & Victoria Monet,69,2,4/20/2019
Bad Luck,Khalid,87,1,4/20/2019
Inmortal,Aventura,95,1,4/20/2019
Outta My Head,Khalid With John Mayer,58,1,4/20/2019
My Bad,Khalid,55,3,4/20/2019
Dedication,Nipsey Hussle Featuring Kendrick Lamar,93,2,4/20/2019
Blue On Black,"Five Finger Death Punch Featuring Kenny Wayne Shepherd, Brantley Gilbert & Brian May",66,1,4/27/2019
MIA,Bad Bunny Featuring Drake,5,27,4/27/2019
Double Up,Nipsey Hussle Featuring Belly & DOM KENNEDY,65,3,4/27/2019
Tequila,Dan + Shay,21,50,4/27/2019
Money,Cardi B,13,26,4/27/2019
Undrunk,FLETCHER,61,6,4/27/2019
There Was This Girl,Riley Green,70,8,4/27/2019
Last Time That I Checc'd,Nipsey Hussle Featuring YG,76,3,4/27/2019
Xanny,Billie Eilish,35,4,5/4/2019
Saturday Nights,Khalid & Kane Brown,57,12,5/4/2019
Bad Liar,Imagine Dragons,56,9,5/4/2019
Let Me Down Slowly,Alec Benjamin + Alessia Cara,79,9,5/4/2019
My Strange Addiction,Billie Eilish,43,4,5/4/2019
Pure Cocaine,Lil Baby,46,16,5/4/2019
One That Got Away,Michael Ray,67,9,5/4/2019
Better Now,Post Malone,3,52,5/4/2019
Slide,French Montana Featuring Blueface & Lil Tjay,90,1,5/4/2019
This Is It,Scotty McCreery,42,20,5/4/2019
Youngblood,5 Seconds Of Summer,7,48,5/11/2019
Kill This Love,BLACKPINK,41,4,5/11/2019
Numb Numb Juice,ScHoolboy Q,55,2,5/11/2019
Floating,ScHoolboy Q Featuring 21 Savage,67,1,5/11/2019
Light It Up,"Marshmello, Tyga & Chris Brown",90,1,5/11/2019
Love Me Anyway,P!nk Featuring Chris Stapleton,96,1,5/11/2019
CHopstix,ScHoolboy Q + Travis Scott,85,1,5/11/2019
Stop Snitching,YG,98,1,5/11/2019
Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,38,20,5/18/2019
Power Is Power,"SZA, The Weeknd & Travis Scott",90,2,5/18/2019
I've Been Waiting,Lil Peep & iLoveMakonnen Featuring Fall Out Boy,62,9,5/18/2019
Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,24,25,5/18/2019
Secreto,Anuel AA & Karol G,68,11,5/18/2019
Middle Child,PnB Rock & XXXTENTACION,91,1,5/18/2019
Faucet Failure,Ski Mask The Slump God,87,11,5/18/2019
You Say,Lauren Daigle,29,43,5/18/2019
Be Alright,Dean Lewis,23,29,5/25/2019
Wish You Were Gay,Billie Eilish,31,11,5/25/2019
Drip Too Hard,Lil Baby & Gunna,4,35,5/25/2019
You Should See Me In A Crown,Billie Eilish,41,8,5/25/2019
Shot Clock,Ella Mai,62,16,5/25/2019
Die Young,Roddy Ricch,99,2,5/25/2019
That's A Rack,Lil Uzi Vert,76,5,5/25/2019
"Thank U, Next",Ariana Grande,1,28,5/25/2019
Make It Sweet,Old Dominion,56,20,5/25/2019
SOS,Avicii Featuring Aloe Blacc,68,4,5/25/2019
Rule The World,2 Chainz Featuring Ariana Grande,94,2,5/25/2019
Baby Shark,Pinkfong,32,20,5/25/2019
I'm So Tired...,Lauv & Troye Sivan,81,6,5/25/2019
New Magic Wand,"Tyler, The Creator",70,1,6/1/2019
Igor's Theme,"Tyler, The Creator",67,1,6/1/2019
Running Out Of Time,"Tyler, The Creator",65,1,6/1/2019
Puppet,"Tyler, The Creator",88,1,6/1/2019
Girls Like You,Maroon 5 Featuring Cardi B,1,52,6/1/2019
Celebrate,DJ Khaled Featuring Travis Scott & Post Malone,52,1,6/1/2019
I Think,"Tyler, The Creator",51,1,6/1/2019
A Boy Is A Gun,"Tyler, The Creator",74,1,6/1/2019
What's Good,"Tyler, The Creator",85,1,6/1/2019
Jealous,"DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean",57,1,6/1/2019
Weather The Storm,DJ Khaled Featuring Meek Mill & Lil Baby,91,1,6/1/2019
Here Tonight,Brett Young,42,20,6/1/2019
Mixed Personalities,YNW Melly Featuring Kanye West,42,18,6/8/2019
A Lot,21 Savage,12,23,6/8/2019
Who Do You Love,The Chainsmokers Featuring 5 Seconds Of Summer,52,16,6/8/2019
HP,Maluma,96,1,6/8/2019
Don't Call Me Up,Mabel,66,10,6/8/2019
Earth,Lil Dicky,17,6,6/8/2019
Higher,DJ Khaled Featuring Nipsey Hussle & John Legend,21,2,6/8/2019
Thotiana,Blueface,8,20,6/8/2019
Paradise,Bazzi,91,3,6/8/2019
Under Enemy Arms,Trippie Redd,94,1,6/15/2019
Isis,Joyner Lucas Featuring Logic,59,2,6/15/2019
Shut Up About Politics,John Rich Featuring The Five,91,1,6/15/2019
Boy With Luv,BTS Featuring Halsey,8,8,6/15/2019
Night Shift,Jon Pardi,56,16,6/15/2019
Murder On My Mind,YNW Melly,14,20,6/15/2019
Heaven,Avicii,83,1,6/22/2019
Close Friends,Lil Baby,28,33,6/22/2019
On My Way To You,Cody Johnson,78,16,6/22/2019
Beautiful Crazy,Luke Combs,21,31,6/22/2019
Bury A Friend,Billie Eilish,14,20,6/22/2019
Put A Date On It,Yo Gotti Featuring Lil Baby,46,20,6/22/2019
Please Tell Me,Future,87,1,6/22/2019
Government Official,Future,99,1,6/22/2019
Amor Genuino,Ozuna,92,1,6/22/2019
XanaX Damage,Future,98,1,6/22/2019
Te Robare,Nicky Jam X Ozuna,91,6,6/29/2019
Envy Me,Calboy,31,27,6/29/2019
Racks In The Middle,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,26,11,6/29/2019
Rescue Me,Marshmello Featuring A Day To Remember,92,1,6/29/2019
Sanctuary,Joji,80,1,6/29/2019
When The Party's Over,Billie Eilish,29,32,6/29/2019
Miss Me More,Kelsea Ballerini,47,20,6/29/2019
Big Ole Freak,Megan Thee Stallion,65,12,7/6/2019
Here With Me,Marshmello Featuring CHVRCHES,31,16,7/6/2019
"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,2,20,7/6/2019
Love Someone,Brett Eldredge,52,10,7/6/2019
Baila Baila Baila,Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA,69,9,7/6/2019
Omerta,Drake,35,2,7/6/2019
Summer Days,Martin Garrix Featuring Macklemore & Patrick Stump,100,1,7/6/2019
You Stay,"DJ Khaled Featuring Meek Mill, J Balvin, Lil Baby & Jeremih",44,4,7/6/2019
Please Me,Cardi B & Bruno Mars,3,20,7/13/2019
Don't Check On Me,Chris Brown Featuring Justin Bieber & Ink,67,1,7/13/2019
When I Grow Up,NF,78,1,7/13/2019
Bacc At It Again,"Yella Beezy, Gucci Mane & Quavo",78,6,7/13/2019
Eyes On You,Chase Rice,38,20,7/13/2019
Homicide,Logic Featuring Eminem,5,6,7/13/2019
Good As You,Kane Brown,36,20,7/20/2019
Out The Mud,Lil Baby Featuring Future,70,3,7/20/2019
Look Back At It,A Boogie Wit da Hoodie,27,31,7/20/2019
Eastside,"benny blanco, Halsey & Khalid",9,52,7/20/2019
Costa Rica,"Dreamville Featuring Bas, JID, Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God",75,1,7/20/2019
Mother's Daughter,Miley Cyrus,54,3,7/20/2019
Down Bad,"Dreamville Featuring JID, Bas, J. Cole, EARTHGANG & Young Nudy",64,2,7/20/2019
Girls Need Love,Summer Walker X Drake,37,20,7/20/2019
Ocean Eyes,Billie Eilish,84,20,7/20/2019
Look What God Gave Her,Thomas Rhett,32,20,7/27/2019
Pure Water,Mustard & Migos,23,25,7/27/2019
BLOW,Ed Sheeran With Chris Stapleton & Bruno Mars,60,2,7/27/2019
Remember The Name,Ed Sheeran Featuring Eminem & 50 Cent,57,1,7/27/2019
Wake Up,Travis Scott,30,7,7/27/2019
Best Part Of Me,Ed Sheeran Featuring YEBBA,99,1,7/27/2019
Spirit,Beyonce,98,1,7/27/2019
Like A Rodeo,Kane Brown,90,1,7/27/2019
Walk Me Home,P!nk,49,20,7/27/2019
Middle Child,J. Cole,4,27,8/3/2019
Con Calma,Daddy Yankee & Katy Perry Featuring Snow,22,25,8/3/2019
Rumor,Lee Brice,25,20,8/3/2019
Act Up,City Girls,26,21,8/3/2019
Mood 4 Eva,"Beyonce, JAY-Z & Childish Gambino Featuring Oumou Sangare",90,1,8/3/2019
GIRL,Maren Morris,44,21,8/3/2019
Under The Sun,"Dreamville Featuring J. Cole, Lute & DaBaby",44,3,8/3/2019
Brown Skin Girl,"Beyonce, SAINt JHN & Wizkid Featuring Blue Ivy Carter",76,1,8/3/2019
Sicko Mode,Travis Scott,1,52,8/10/2019
The Search,NF,70,2,8/10/2019
Cross Me,Ed Sheeran Featuring Chance The Rapper & PnB Rock,25,10,8/10/2019
All Day Long,Chance The Rapper Featuring John Legend,94,1,8/10/2019
Leave Me Alone,NF,85,1,8/10/2019
Nightmare,Halsey,15,11,8/10/2019
Do You Remember,Chance The Rapper Featuring Death Cab For Cutie,95,1,8/10/2019
High Hopes,Panic! At The Disco,4,52,8/10/2019
Calma,Pedro Capo X Farruko,71,20,8/10/2019
Cool,Jonas Brothers,27,17,8/10/2019
MEGATRON,Nicki Minaj,20,5,8/10/2019
Shallow,Lady Gaga & Bradley Cooper,1,45,8/17/2019
The Motion,Drake,61,1,8/17/2019
Antisocial,Ed Sheeran & Travis Scott,37,4,8/17/2019
Club Paradise,Drake,85,1,8/17/2019
Fear Inoculum,Tool,93,1,8/17/2019
Before I Let Go,Beyonce,65,16,8/17/2019
Dreams Money Can Buy,Drake,68,1,8/17/2019
Days In The East,Drake,95,1,8/17/2019
Trust Issues,Drake,58,1,8/17/2019
How About Now,Drake,60,1,8/17/2019
Worth It,YK Osiris,48,25,8/17/2019
Single Again,Big Sean,64,3,8/24/2019
Small Talk,Katy Perry,81,1,8/24/2019
Sweet But Psycho,Ava Max,10,35,8/24/2019
Happier,Marshmello & Bastille,2,52,8/24/2019
Snake Skin,Trippie Redd,87,1,8/24/2019
24/7,Meek Mill Featuring Ella Mai,54,19,8/24/2019
Better,Khalid,8,48,8/24/2019
Just Us,DJ Khaled Featuring SZA,43,13,8/24/2019
Night Falls,"Dove Cameron, Sofia Carson, Booboo Stewart, Cameron Boyce, Thomas Doherty, China Anne McClain & Dylan Playfair",84,1,8/24/2019
Sanguine Paradise,Lil Uzi Vert,28,16,8/24/2019
Love Ain't,Eli Young Band,50,18,8/24/2019
Que Pretendes,J Balvin & Bad Bunny,65,5,8/24/2019
La La Land,Bryce Vine Featuring YG,75,11,8/24/2019
Talk You Out Of It,Florida Georgia Line,57,26,8/24/2019
Tap,NAV Featuring Meek Mill,87,10,8/24/2019
Going Bad,Meek Mill Featuring Drake,6,37,8/24/2019
Gold Roses,Rick Ross Featuring Drake,39,3,8/24/2019
Light It Up,Young Thug,82,1,8/31/2019
Daddy,Blueface & Rich The Kid,78,4,8/31/2019
Surf,Young Thug Featuring Gunna,61,1,8/31/2019
What's The Move,Young Thug Featuring Lil Uzi Vert,55,1,8/31/2019
Mac 10,Trippie Redd Featuring Lil Baby & Lil Duke,64,2,8/31/2019
Clout,Offset Featuring Cardi B,39,20,8/31/2019
Uno,Ambjaay,82,3,8/31/2019
Some Of It,Eric Church,43,13,8/31/2019
Takeaway,The Chainsmokers & ILLENIUM Featuring Lennon Stella,69,2,8/31/2019
Ecstasy,Young Thug Featuring Machine Gun Kelly,92,1,8/31/2019
Just How It Is,Young Thug,60,1,8/31/2019
Sup Mate,Young Thug Featuring Future,70,1,8/31/2019
Lil Baby,Young Thug,84,1,8/31/2019
Won't Be Late,Swae Lee Featuring Drake,75,1,8/31/2019
Death By A Thousand Cuts,Taylor Swift,67,1,9/7/2019
EARFQUAKE,"Tyler, The Creator",13,15,9/7/2019
Afterglow,Taylor Swift,75,1,9/7/2019
Paper Rings,Taylor Swift,45,1,9/7/2019
Raised On Country,Chris Young,54,13,9/7/2019
I Think He Knows,Taylor Swift,51,1,9/7/2019
Daylight,Taylor Swift,89,1,9/7/2019
London Boy,Taylor Swift,62,1,9/7/2019
Miss Americana & The Heartbreak Prince,Taylor Swift,49,1,9/7/2019
False God,Taylor Swift,77,1,9/7/2019
Soon You'll Get Better,Taylor Swift Featuring Dixie Chicks,63,1,9/7/2019
It's Nice To Have A Friend,Taylor Swift,92,1,9/7/2019
Never Really Over,Katy Perry,15,13,9/7/2019
Cornelia Street,Taylor Swift,57,1,9/7/2019
The Archer,Taylor Swift,38,3,9/7/2019
Bezerk,Big Sean Featuring A$AP Ferg & Hit-Boy,89,1,9/14/2019
7 Rings,Ariana Grande,1,33,9/14/2019
Whiskey Glasses,Morgan Wallen,17,27,9/14/2019
Call You Mine,The Chainsmokers & Bebe Rexha,56,14,9/14/2019
ME!,Taylor Swift Featuring Brendon Urie,2,20,9/14/2019
Soltera,"Lunay, Daddy Yankee & Bad Bunny",66,17,9/14/2019
Shots,Lil Tecca,84,1,9/14/2019
Juice,Lizzo,82,4,9/14/2019
Out Of Luck,Lil Tecca,80,1,9/14/2019
God Only Knows,for KING & COUNTRY,94,1,9/14/2019
God's Country,Blake Shelton,17,23,9/14/2019
I Forgot That You Existed,Taylor Swift,28,2,9/14/2019
Shotta Flow,NLE Choppa,36,20,9/14/2019
Babushka Boi,A$AP Rocky,69,1,9/14/2019
Love Me,Lil Tecca,97,1,9/14/2019
Buy My Own Drinks,Runaway June,88,5,9/21/2019
Easier,5 Seconds Of Summer,48,16,9/21/2019
Internet,Post Malone,58,1,9/21/2019
Baguettes In The Face,"Mustard featuring NAV, Playboi Carti & A Boogie Wit da Hoodie",81,6,9/21/2019
Go Loko,"YG, Tyga & Jon Z",49,19,9/21/2019
"Hey Look Ma, I Made It",Panic! At The Disco,16,22,9/21/2019
I Know,Post Malone,53,1,9/21/2019
Doin' Time,Lana Del Rey,59,2,9/21/2019
Myself,Post Malone,52,1,9/21/2019
Allergic,Post Malone,37,2,9/28/2019
I'm Gonna Be,Post Malone,33,2,9/28/2019
All To Myself,Dan + Shay,31,20,9/28/2019
Press,Cardi B,16,16,9/28/2019
